p_swap,p_mut_pop,p_ls,n_people,ls_th,desv. media
0.3,1.0,0.4,5,1000,0.49386313213517724
0.3,0.4,0.2,5,1000,0.5014858242869745
0.3,0.4,0.2,25,1000,0.5346564833075985
0.3,0.8,0.4,25,1000,0.535917705440211
0.3,0.8,0.2,25,1000,0.5449482974053134
0.3,0.4,0.4,5,1000,0.5450030352142629
0.1,1.0,0.4,25,1000,0.5454682251122563
0.1,0.8,0.4,25,1000,0.5459983826873349
0.1,0.4,0.4,5,1000,0.5471716425183535
0.1,0.4,0.4,25,1000,0.5493334510088318
0.1,0.8,0.4,5,1000,0.5500788739273972
0.1,0.8,0.2,25,1000,0.5548964776929084
0.1,0.4,0.2,25,1000,0.5569688750314206
0.3,0.8,0.4,5,1000,0.5665674245140131
0.1,1.0,0.2,25,1000,0.5683921776271453
0.3,1.0,0.2,25,1000,0.5695496825234209
0.1,0.4,0.2,5,1000,0.5701116079927654
0.3,0.4,0.4,25,1000,0.5747967520664397
0.3,1.0,0.4,25,1000,0.5813566554268508
0.3,0.8,0.2,5,1000,0.5832552017367085
0.3,1.0,0.2,5,1000,0.5877910842796329
0.1,0.4,0.4,5,10000,0.5916126915294393
0.3,1.0,0.2,5,10000,0.5985868585898984
0.1,1.0,0.4,5,1000,0.6079634193385739
0.3,0.8,0.2,5,10000,0.6091532381352653
0.1,0.8,0.2,5,1000,0.6180504285092131
0.3,1.0,0.4,5,10000,0.629357416654308
0.3,0.4,0.2,5,10000,0.639276434838998
0.1,1.0,0.2,5,1000,0.6405621212363268
0.1,0.4,0.2,25,10000,0.6630446644467907
0.1,1.0,0.4,5,10000,0.6673854877655182
0.3,0.8,0.4,5,10000,0.6730925385044553
0.3,0.4,0.4,5,10000,0.6736877167769257
0.3,0.4,0.2,25,10000,0.6755902507512351
0.3,0.4,0.4,25,10000,0.6760420113556759
0.3,0.8,0.4,25,10000,0.6760420113556759
0.3,1.0,0.4,25,10000,0.6760420113556759
0.3,0.8,0.2,25,10000,0.6771189605907996
0.1,1.0,0.4,25,10000,0.6834374746590713
0.1,0.4,0.4,25,10000,0.6834374746590713
0.1,0.8,0.4,25,10000,0.6834374746590713
0.1,0.8,0.4,5,10000,0.683903167116459
0.3,1.0,0.2,25,10000,0.6842939459778358
0.1,1.0,0.2,25,10000,0.6916251355174662
0.1,0.8,0.2,25,10000,0.7024057841219894
0.1,0.4,0.2,5,10000,0.71781752524985
0.1,1.0,0.2,5,10000,0.7267550534044644
0.1,0.8,0.2,5,10000,0.7554767846517585
